"MODEL","SCENARIO","REGION","VARIABLE","UNIT",1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
"OECD Env-Growth","SSP2_v9_130325","CHN","GDP|PPP","billion US$2005/yr",,,,,,,,,,,3367.175,5362.83,9121.348,13882.122,20376.807,27245.163,33582.335,38906.859,43613.037,47745.912,50967.52,53257.441,55132.455,56609.017,57738.484,58448.264,58955.589,59167.025,59231.773,59221.418,59184.717,,,,,,,,,,
"OECD Env-Growth","SSP2_v9_130325","CHN","Population","million",,,,,,,,,,,1269.117,1307.593,1341.335,1363.42,1379.229,1385.145,1380.651,1365.275,1339.587,1305.12,1263.138,1215.403,1163.794,1110.444,1057.146,1004.276,951.828,900.636,852.319,807.864,767.275,,,,,,,,,,
